# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:ppp'
# Event count (approx.): 17436254619585
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.07%  translator  perf-32261.map     [.] src_0x1df80
     0.07%  translator  perf-32261.map     [.] src_0x18e40
     0.07%  translator  perf-32261.map     [.] src_0x1bbc8
     0.07%  translator  perf-32261.map     [.] src_0x20dd0
     0.07%  translator  perf-32261.map     [.] src_0x1c524
     0.07%  translator  perf-32261.map     [.] src_0x16494
     0.07%  translator  perf-32261.map     [.] src_0x19b40
     0.07%  translator  perf-32261.map     [.] src_0x16768
     0.07%  translator  perf-32261.map     [.] context_switch_save
     0.07%  translator  perf-32261.map     [.] src_0x19140
     0.07%  translator  perf-32261.map     [.] src_0x2129c
     0.07%  translator  perf-32261.map     [.] src_0x1ca68
     0.07%  translator  perf-32261.map     [.] src_0x19b30
     0.07%  translator  perf-32261.map     [.] src_0x20f64
     0.07%  translator  perf-32261.map     [.] src_0x211a4
     0.07%  translator  perf-32261.map     [.] src_0x1ded4
     0.07%  translator  perf-32261.map     [.] src_0x1e070
     0.07%  translator  perf-32261.map     [.] src_0x1cbdc
     0.07%  translator  perf-32261.map     [.] src_0x1d948
     0.07%  translator  perf-32261.map     [.] src_0x19014
     0.07%  translator  perf-32261.map     [.] src_0x1e998
     0.07%  translator  perf-32261.map     [.] src_0x1cb7c
     0.07%  translator  perf-32261.map     [.] src_0x163a0
     0.07%  translator  perf-32261.map     [.] src_0x196c8
     0.07%  translator  perf-32261.map     [.] src_0x165a4
     0.07%  translator  perf-32261.map     [.] src_0x1df5c
     0.07%  translator  perf-32261.map     [.] src_0x212e4
     0.07%  translator  perf-32261.map     [.] src_0x1764c
     0.07%  translator  perf-32261.map     [.] src_0x16624
     0.07%  translator  perf-32261.map     [.] src_0x211e0
     0.07%  translator  perf-32261.map     [.] src_0x187b8
     0.07%  translator  perf-32261.map     [.] src_0x164f8
     0.07%  translator  perf-32261.map     [.] src_0x15be0
     0.07%  translator  perf-32261.map     [.] src_0x18c48
     0.07%  translator  perf-32261.map     [.] src_0x19e04
     0.07%  translator  perf-32261.map     [.] src_0x19178
     0.06%  translator  perf-32261.map     [.] src_0x21500
     0.06%  translator  perf-32261.map     [.] src_0x1dd6c
     0.06%  translator  perf-32261.map     [.] src_0x19b4c
     0.06%  translator  perf-32261.map     [.] src_0x1d920
     0.06%  translator  perf-32261.map     [.] src_0x1d110
     0.06%  translator  perf-32261.map     [.] src_0x1e198
     0.06%  translator  perf-32261.map     [.] src_0x1d8f8
     0.06%  translator  perf-32261.map     [.] src_0x1c81c
     0.06%  translator  perf-32261.map     [.] src_0x1c780
     0.06%  translator  perf-32261.map     [.] src_0x1c3e8
     0.06%  translator  perf-32261.map     [.] src_0x1e918
     0.06%  translator  perf-32261.map     [.] src_0x1ec28
     0.06%  translator  perf-32261.map     [.] src_0x15b58
     0.06%  translator  perf-32261.map     [.] src_0x1dfa4
     0.06%  translator  perf-32261.map     [.] src_0x19004
     0.06%  translator  perf-32261.map     [.] src_0x1a0b8
     0.06%  translator  perf-32261.map     [.] src_0x1680c
     0.06%  translator  perf-32261.map     [.] src_0x1e474
     0.06%  translator  perf-32261.map     [.] src_0x1c88c
     0.06%  translator  perf-32261.map     [.] src_0x1df44
     0.06%  translator  perf-32261.map     [.] src_0x198d0
     0.06%  translator  perf-32261.map     [.] src_0x1c788
     0.06%  translator  perf-32261.map     [.] src_0x19034
     0.06%  translator  perf-32261.map     [.] src_0x19c4c
     0.06%  translator  perf-32261.map     [.] src_0x1cdec
     0.06%  translator  perf-32261.map     [.] src_0x19104
     0.06%  translator  perf-32261.map     [.] src_0x16564
     0.06%  translator  perf-32261.map     [.] src_0x179dc
     0.06%  translator  perf-32261.map     [.] src_0x18970
     0.06%  translator  perf-32261.map     [.] src_0x1663c
     0.06%  translator  perf-32261.map     [.] src_0x169a0
     0.06%  translator  perf-32261.map     [.] src_0x1e338
     0.06%  translator  perf-32261.map     [.] src_0x19c5c
     0.06%  translator  perf-32261.map     [.] src_0x190fc
     0.06%  translator  perf-32261.map     [.] src_0x1e334
     0.06%  translator  perf-32261.map     [.] src_0x18bd0
     0.06%  translator  perf-32261.map     [.] src_0x1e49c
     0.06%  translator  perf-32261.map     [.] src_0x19190
     0.06%  translator  perf-32261.map     [.] src_0x19624
     0.06%  translator  perf-32261.map     [.] src_0x1f290
     0.06%  translator  perf-32261.map     [.] src_0x1883c
     0.06%  translator  perf-32261.map     [.] src_0x19110
     0.06%  translator  perf-32261.map     [.] src_0x1c7ec
     0.06%  translator  perf-32261.map     [.] src_0x1d924
     0.06%  translator  perf-32261.map     [.] src_0x1ccdc
     0.06%  translator  perf-32261.map     [.] src_0x18e2c
     0.06%  translator  perf-32261.map     [.] src_0x1e594
     0.06%  translator  perf-32261.map     [.] src_0x1789c
     0.06%  translator  perf-32261.map     [.] src_0x1993c
     0.06%  translator  perf-32261.map     [.] src_0x18ab8
     0.06%  translator  perf-32261.map     [.] src_0x18858
     0.06%  translator  perf-32261.map     [.] src_0x1c984
     0.06%  translator  perf-32261.map     [.] src_0x1e488
     0.06%  translator  perf-32261.map     [.] src_0x1dd58
     0.06%  translator  perf-32261.map     [.] src_0x19298
     0.06%  translator  perf-32261.map     [.] src_0x1656c
     0.06%  translator  perf-32261.map     [.] src_0x1b930
     0.06%  translator  perf-32261.map     [.] src_0x1ceb0
     0.06%  translator  perf-32261.map     [.] src_0x18ef0
     0.05%  translator  perf-32261.map     [.] src_0x1bccc
     0.05%  translator  perf-32261.map     [.] src_0x17fd0
     0.05%  translator  perf-32261.map     [.] src_0x1c3f8
     0.05%  translator  perf-32261.map     [.] src_0x1c7e0
     0.05%  translator  perf-32261.map     [.] src_0x1c604
     0.05%  translator  perf-32261.map     [.] src_0x1ca48
     0.05%  translator  perf-32261.map     [.] src_0x193e4
     0.05%  translator  perf-32261.map     [.] src_0x1c97c
     0.05%  translator  perf-32261.map     [.] src_0x1e494
     0.05%  translator  perf-32261.map     [.] src_0x19a80
     0.05%  translator  perf-32261.map     [.] src_0x157d8
     0.05%  translator  perf-32261.map     [.] src_0x21598
     0.05%  translator  perf-32261.map     [.] src_0x18d50
     0.05%  translator  perf-32261.map     [.] src_0x18ca4
     0.05%  translator  perf-32261.map     [.] src_0x19000
     0.05%  translator  perf-32261.map     [.] src_0x1cd10
     0.05%  translator  translator         [.] lookup_cache_entry
     0.05%  translator  perf-32261.map     [.] src_0x18be8
     0.05%  translator  perf-32261.map     [.] src_0x1904c
     0.05%  translator  perf-32261.map     [.] src_0x1cc68
     0.05%  translator  perf-32261.map     [.] src_0x20e44
     0.05%  translator  perf-32261.map     [.] src_0x15b60
     0.05%  translator  perf-32261.map     [.] src_0x19958
     0.05%  translator  [kernel.kallsyms]  [k] run_timer_softirq
     0.05%  translator  perf-32261.map     [.] src_0x1de84
     0.05%  translator  perf-32261.map     [.] src_0x1982c
     0.05%  translator  perf-32261.map     [.] src_0x19580
     0.05%  translator  perf-32261.map     [.] src_0x18f38
     0.05%  translator  perf-32261.map     [.] src_0x1c848
     0.05%  translator  perf-32261.map     [.] src_0x1757c
     0.05%  translator  perf-32261.map     [.] src_0x1ba00
     0.05%  translator  perf-32261.map     [.] src_0x18b40
     0.05%  translator  perf-32261.map     [.] src_0x1f070
     0.05%  translator  perf-32261.map     [.] src_0x1cd14
     0.05%  translator  perf-32261.map     [.] src_0x191bc
     0.05%  translator  perf-32261.map     [.] src_0x214ec
     0.05%  translator  perf-32261.map     [.] src_0x1bca8
     0.05%  translator  perf-32261.map     [.] src_0x16518
     0.05%  translator  perf-32261.map     [.] src_0x1e9b8
     0.05%  translator  perf-32261.map     [.] src_0x1c878
     0.05%  translator  perf-32261.map     [.] src_0x1c76c
     0.05%  translator  perf-32261.map     [.] src_0x19c6c
     0.05%  translator  perf-32261.map     [.] src_0x1a05c
     0.05%  translator  perf-32261.map     [.] src_0x19b7c
     0.05%  translator  perf-32261.map     [.] src_0x1e3d8
     0.05%  translator  perf-32261.map     [.] src_0x1e260
     0.05%  translator  perf-32261.map     [.] src_0x1e360
     0.05%  translator  perf-32261.map     [.] src_0x16b44
     0.05%  translator  perf-32261.map     [.] src_0x1996c
     0.05%  translator  perf-32261.map     [.] src_0x1cd94
     0.05%  translator  perf-32261.map     [.] src_0x1cc38
     0.05%  translator  perf-32261.map     [.] src_0x1cdd4
     0.05%  translator  perf-32261.map     [.] src_0x1c9e4
     0.05%  translator  perf-32261.map     [.] src_0x1bcc4
     0.05%  translator  perf-32261.map     [.] src_0x1d930
     0.05%  translator  perf-32261.map     [.] src_0x214fc
     0.05%  translator  perf-32261.map     [.] src_0x1e274
     0.05%  translator  perf-32261.map     [.] src_0x21584
     0.05%  translator  perf-32261.map     [.] src_0x1ca90
     0.05%  translator  perf-32261.map     [.] src_0x1ca88
     0.05%  translator  perf-32261.map     [.] src_0x1c768
     0.05%  translator  perf-32261.map     [.] src_0x18e24
     0.05%  translator  perf-32261.map     [.] src_0x1ca98
     0.05%  translator  perf-32261.map     [.] src_0x1eee4
     0.05%  translator  perf-32261.map     [.] src_0x174b8
     0.05%  translator  perf-32261.map     [.] src_0x16534
     0.05%  translator  perf-32261.map     [.] src_0x1e404
     0.05%  translator  perf-32261.map     [.] src_0x16d0c
     0.05%  translator  perf-32261.map     [.] src_0x1bc1c
     0.05%  translator  perf-32261.map     [.] src_0x18cf8
     0.05%  translator  perf-32261.map     [.] src_0x16b98
     0.05%  translator  perf-32261.map     [.] src_0x1c710
     0.05%  translator  perf-32261.map     [.] src_0x192c4
     0.05%  translator  perf-32261.map     [.] src_0x13878
     0.05%  translator  perf-32261.map     [.] src_0x1e11c
     0.05%  translator  perf-32261.map     [.] src_0x19db8
     0.05%  translator  perf-32261.map     [.] src_0x18ce8
     0.05%  translator  perf-32261.map     [.] src_0x16cb0
     0.05%  translator  perf-32261.map     [.] src_0x16b70
     0.04%  translator  perf-32261.map     [.] src_0x1c7c4
     0.04%  translator  perf-32261.map     [.] src_0x1e570
     0.04%  translator  perf-32261.map     [.] src_0x1e408
     0.04%  translator  perf-32261.map     [.] src_0x213cc
     0.04%  translator  perf-32261.map     [.] src_0x16d04
     0.04%  translator  perf-32261.map     [.] src_0x1cc04
     0.04%  translator  perf-32261.map     [.] src_0x1dd80
     0.04%  translator  perf-32261.map     [.] src_0x1e250
     0.04%  translator  perf-32261.map     [.] src_0x1dd2c
     0.04%  translator  translator         [.] transcode_loop
     0.04%  translator  perf-32261.map     [.] src_0x190f4
     0.04%  translator  perf-32261.map     [.] src_0x1cbfc
     0.04%  translator  perf-32261.map     [.] src_0x19408
     0.04%  translator  perf-32261.map     [.] src_0x1cca4
     0.04%  translator  perf-32261.map     [.] src_0x192b0
     0.04%  translator  perf-32261.map     [.] src_0x15bb0
     0.04%  translator  perf-32261.map     [.] src_0x1ccd4
     0.04%  translator  perf-32261.map     [.] src_0x1e554
     0.04%  translator  perf-32261.map     [.] src_0x1c7ac
     0.04%  translator  perf-32261.map     [.] src_0x15bac
     0.04%  translator  perf-32261.map     [.] src_0x1916c
     0.04%  translator  perf-32261.map     [.] src_0x1c400
     0.04%  translator  perf-32261.map     [.] src_0x15c50
     0.04%  translator  perf-32261.map     [.] src_0x17208
     0.04%  translator  perf-32261.map     [.] src_0x19c9c
     0.04%  translator  perf-32261.map     [.] src_0x1a200
     0.04%  translator  perf-32261.map     [.] src_0x15c88
     0.04%  translator  perf-32261.map     [.] src_0x18fcc
     0.04%  translator  perf-32261.map     [.] src_0x1d26c
     0.04%  translator  perf-32261.map     [.] src_0x18fac
     0.04%  translator  perf-32261.map     [.] src_0x18d08
     0.04%  translator  perf-32261.map     [.] src_0x18110
     0.04%  translator  perf-32261.map     [.] src_0x1c84c
     0.04%  translator  perf-32261.map     [.] src_0x1d9fc
     0.04%  translator  perf-32261.map     [.] src_0x17214
     0.04%  translator  perf-32261.map     [.] src_0x1c470
     0.04%  translator  perf-32261.map     [.] src_0x192e4
     0.04%  translator  perf-32261.map     [.] src_0x1e748
     0.04%  translator  perf-32261.map     [.] src_0x1e248
     0.04%  translator  perf-32261.map     [.] src_0x214e4
     0.04%  translator  perf-32261.map     [.] src_0x1d30c
     0.04%  translator  perf-32261.map     [.] src_0x1ca2c
     0.04%  translator  perf-32261.map     [.] src_0x1ca20
     0.04%  translator  perf-32261.map     [.] src_0x13854
     0.04%  translator  perf-32261.map     [.] src_0x16b48
     0.04%  translator  perf-32261.map     [.] src_0x10afc
     0.04%  translator  perf-32261.map     [.] src_0x1d8e8
     0.04%  translator  perf-32261.map     [.] src_0x16b50
     0.04%  translator  perf-32261.map     [.] src_0x211cc
     0.04%  translator  perf-32261.map     [.] src_0x179b8
     0.04%  translator  perf-32261.map     [.] src_0x1eeb8
     0.04%  translator  perf-32261.map     [.] src_0x18e34
     0.04%  translator  perf-32261.map     [.] src_0x196c0
     0.04%  translator  perf-32261.map     [.] src_0x1ed08
     0.04%  translator  perf-32261.map     [.] src_0x1d304
     0.04%  translator  perf-32261.map     [.] src_0x192ac
     0.04%  translator  perf-32261.map     [.] src_0x10b18
     0.04%  translator  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.04%  translator  perf-32261.map     [.] src_0x1e5a4
     0.04%  translator  perf-32261.map     [.] src_0x171a8
     0.04%  translator  perf-32261.map     [.] src_0x1e280
     0.04%  translator  perf-32261.map     [.] src_0x18f00
     0.04%  translator  perf-32261.map     [.] src_0x15b2c
     0.04%  translator  perf-32261.map     [.] src_0x17b48
     0.04%  translator  perf-32261.map     [.] src_0x16f24
     0.04%  translator  perf-32261.map     [.] src_0x1d2d4
     0.04%  translator  perf-32261.map     [.] src_0x1e80c
     0.04%  translator  perf-32261.map     [.] src_0x138a0
     0.04%  translator  perf-32261.map     [.] src_0x1eb44
     0.04%  translator  perf-32261.map     [.] src_0x19b6c
     0.04%  translator  perf-32261.map     [.] src_0x1788c
     0.04%  translator  perf-32261.map     [.] src_0x16ba0
     0.04%  translator  perf-32261.map     [.] src_0x1389c
     0.04%  translator  perf-32261.map     [.] src_0x169ec
     0.04%  translator  perf-32261.map     [.] src_0x1df50
     0.04%  translator  perf-32261.map     [.] src_0x1e55c
     0.04%  translator  perf-32261.map     [.] src_0x179c0
     0.04%  translator  perf-32261.map     [.] src_0x16f54
     0.04%  translator  perf-32261.map     [.] src_0x15c60
     0.04%  translator  perf-32261.map     [.] src_0x199cc
     0.04%  translator  perf-32261.map     [.] src_0x18e98
     0.04%  translator  perf-32261.map     [.] src_0x15c58
     0.04%  translator  perf-32261.map     [.] src_0x15bb8
     0.04%  translator  perf-32261.map     [.] src_0x16cbc
     0.04%  translator  perf-32261.map     [.] src_0x16d70
     0.04%  translator  perf-32261.map     [.] src_0x13874
     0.04%  translator  perf-32261.map     [.] src_0x13848
     0.04%  translator  perf-32261.map     [.] src_0x19a94
     0.04%  translator  perf-32261.map     [.] src_0x16f2c
     0.04%  translator  perf-32261.map     [.] src_0x1eb38
     0.04%  translator  perf-32261.map     [.] src_0x1f328
     0.04%  translator  perf-32261.map     [.] src_0x1e834
     0.04%  translator  [kernel.kallsyms]  [k] native_write_msr
     0.04%  translator  perf-32261.map     [.] src_0x196e0
     0.03%  translator  perf-32261.map     [.] src_0x1ef10
     0.03%  translator  perf-32261.map     [.] src_0x1cc7c
     0.03%  translator  perf-32261.map     [.] src_0x1cc0c
     0.03%  translator  perf-32261.map     [.] src_0x1da00
     0.03%  translator  perf-32261.map     [.] src_0x18c28
     0.03%  translator  perf-32261.map     [.] src_0x10e0c
     0.03%  translator  perf-32261.map     [.] src_0x17264
     0.03%  translator  perf-32261.map     [.] src_0x1ca50
     0.03%  translator  perf-32261.map     [.] src_0x18bc8
     0.03%  translator  perf-32261.map     [.] src_0x16ff0
     0.03%  translator  perf-32261.map     [.] src_0x1ed28
     0.03%  translator  perf-32261.map     [.] src_0x197b0
     0.03%  translator  perf-32261.map     [.] src_0x15c10
     0.03%  translator  perf-32261.map     [.] src_0x16b8c
     0.03%  translator  perf-32261.map     [.] src_0x1d18c
     0.03%  translator  perf-32261.map     [.] src_0x198ac
     0.03%  translator  perf-32261.map     [.] src_0x1d5e0
     0.03%  translator  perf-32261.map     [.] src_0x19ab0
     0.03%  translator  perf-32261.map     [.] src_0x13898
     0.03%  translator  perf-32261.map     [.] src_0x17984
     0.03%  translator  perf-32261.map     [.] src_0x1e008
     0.03%  translator  perf-32261.map     [.] src_0x1def4
     0.03%  translator  perf-32261.map     [.] src_0x17254
     0.03%  translator  perf-32261.map     [.] src_0x19d08
     0.03%  translator  perf-32261.map     [.] src_0x17234
     0.03%  translator  perf-32261.map     [.] src_0x16b74
     0.03%  translator  perf-32261.map     [.] src_0x192fc
     0.03%  translator  perf-32261.map     [.] src_0x1653c
     0.03%  translator  perf-32261.map     [.] src_0x16f98
     0.03%  translator  perf-32261.map     [.] src_0x1be50
     0.03%  translator  perf-32261.map     [.] src_0x1bc38
     0.03%  translator  perf-32261.map     [.] src_0x1c410
     0.03%  translator  perf-32261.map     [.] src_0x1cc14
     0.03%  translator  perf-32261.map     [.] src_0x1ec30
     0.03%  translator  perf-32261.map     [.] src_0x21698
     0.03%  translator  perf-32261.map     [.] src_0x1978c
     0.03%  translator  perf-32261.map     [.] src_0x15b38
     0.03%  translator  perf-32261.map     [.] src_0x187a8
     0.03%  translator  perf-32261.map     [.] src_0x19fb8
     0.03%  translator  perf-32261.map     [.] src_0x19838
     0.03%  translator  perf-32261.map     [.] src_0x2160c
     0.03%  translator  perf-32261.map     [.] src_0x1d8e4
     0.03%  translator  perf-32261.map     [.] src_0x21554
     0.03%  translator  perf-32261.map     [.] src_0x1e0b4
     0.03%  translator  perf-32261.map     [.] src_0x19ecc
     0.03%  translator  perf-32261.map     [.] src_0x15c08
     0.03%  translator  perf-32261.map     [.] src_0x15ad8
     0.03%  translator  perf-32261.map     [.] src_0x21184
     0.03%  translator  perf-32261.map     [.] src_0x1e144
     0.03%  translator  perf-32261.map     [.] src_0x1c800
     0.03%  translator  perf-32261.map     [.] src_0x19048
     0.03%  translator  perf-32261.map     [.] src_0x21570
     0.03%  translator  perf-32261.map     [.] src_0x1eb40
     0.03%  translator  perf-32261.map     [.] src_0x15894
     0.03%  translator  perf-32261.map     [.] src_0x191cc
     0.03%  translator  perf-32261.map     [.] src_0x1ccd0
     0.03%  translator  perf-32261.map     [.] src_0x16b60
     0.03%  translator  perf-32261.map     [.] src_0x16f7c
     0.03%  translator  perf-32261.map     [.] src_0x1d2cc
     0.03%  translator  perf-32261.map     [.] src_0x1360c
     0.03%  translator  perf-32261.map     [.] src_0x10df0
     0.03%  translator  perf-32261.map     [.] src_0x214dc
     0.03%  translator  perf-32261.map     [.] src_0x16f34
     0.03%  translator  perf-32261.map     [.] src_0x16f74
     0.03%  translator  perf-32261.map     [.] src_0x1721c
     0.03%  translator  perf-32261.map     [.] src_0x1797c
     0.03%  translator  perf-32261.map     [.] src_0x16c08
     0.03%  translator  perf-32261.map     [.] src_0x16cdc
     0.03%  translator  perf-32261.map     [.] src_0x1db44
     0.03%  translator  perf-32261.map     [.] src_0x2168c
     0.03%  translator  perf-32261.map     [.] src_0x1e5bc
     0.03%  translator  perf-32261.map     [.] src_0x1e298
     0.03%  translator  perf-32261.map     [.] src_0x15b90
     0.03%  translator  perf-32261.map     [.] src_0x1d874
     0.03%  translator  perf-32261.map     [.] src_0x19948
     0.03%  translator  perf-32261.map     [.] src_0x216a0
     0.03%  translator  [kernel.kallsyms]  [k] update_blocked_averages
     0.03%  translator  [tg3]              [k] tg3_read32
     0.03%  translator  perf-32261.map     [.] src_0x19c8c
     0.03%  translator  perf-32261.map     [.] src_0x16fe8
     0.03%  translator  perf-32261.map     [.] src_0x178c4
     0.03%  translator  perf-32261.map     [.] src_0x1ca38
     0.03%  translator  perf-32261.map     [.] src_0x15f5c
     0.03%  translator  perf-32261.map     [.] src_0x1f04c
     0.03%  translator  perf-32261.map     [.] src_0x1be40
     0.03%  translator  perf-32261.map     [.] src_0x1f06c
     0.03%  translator  perf-32261.map     [.] src_0x19dc8
     0.03%  translator  perf-32261.map     [.] src_0x18d88
     0.03%  translator  perf-32261.map     [.] src_0x17240
     0.03%  translator  perf-32261.map     [.] src_0x10a94
     0.03%  translator  perf-32261.map     [.] src_0x15b88
     0.03%  translator  perf-32261.map     [.] src_0x1588c
     0.03%  translator  perf-32261.map     [.] src_0x17d38
     0.03%  translator  perf-32261.map     [.] src_0x199e8
     0.03%  translator  perf-32261.map     [.] src_0x1dac8
     0.03%  translator  perf-32261.map     [.] src_0x1e59c
     0.03%  translator  perf-32261.map     [.] src_0x1971c
     0.03%  translator  perf-32261.map     [.] src_0x1bd90
     0.03%  translator  perf-32261.map     [.] src_0x16fa8
     0.03%  translator  perf-32261.map     [.] src_0x1f310
     0.03%  translator  perf-32261.map     [.] src_0x15ae0
     0.03%  translator  perf-32261.map     [.] src_0x16f5c
     0.03%  translator  perf-32261.map     [.] src_0x19594
     0.03%  translator  perf-32261.map     [.] src_0x1f034
     0.03%  translator  perf-32261.map     [.] src_0x1c408
     0.03%  translator  perf-32261.map     [.] src_0x16ccc
     0.03%  translator  perf-32261.map     [.] src_0x1dabc
     0.03%  translator  perf-32261.map     [.] src_0x1dea8
     0.03%  translator  perf-32261.map     [.] src_0x1c4a4
     0.03%  translator  perf-32261.map     [.] src_0x15cd4
     0.03%  translator  perf-32261.map     [.] src_0x197bc
     0.03%  translator  perf-32261.map     [.] src_0x1e8d0
     0.03%  translator  perf-32261.map     [.] src_0x1f004
     0.02%  translator  perf-32261.map     [.] src_0x1c4c8
     0.02%  translator  perf-32261.map     [.] src_0x16ba8
     0.02%  translator  perf-32261.map     [.] src_0x16b30
     0.02%  translator  perf-32261.map     [.] src_0x15f54
     0.02%  translator  perf-32261.map     [.] src_0x16814
     0.02%  translator  perf-32261.map     [.] src_0x16b84
     0.02%  translator  perf-32261.map     [.] src_0x1e420
     0.02%  translator  perf-32261.map     [.] src_0x216c4
     0.02%  translator  perf-32261.map     [.] src_0x177d4
     0.02%  translator  perf-32261.map     [.] src_0x18dac
     0.02%  translator  perf-32261.map     [.] src_0x1973c
     0.02%  translator  perf-32261.map     [.] src_0x15b30
     0.02%  translator  perf-32261.map     [.] src_0x19a9c
     0.02%  translator  perf-32261.map     [.] src_0x187a4
     0.02%  translator  perf-32261.map     [.] src_0x17128
     0.02%  translator  perf-32261.map     [.] src_0x1972c
     0.02%  translator  perf-32261.map     [.] src_0x18d84
     0.02%  translator  perf-32261.map     [.] src_0x16fc8
     0.02%  translator  perf-32261.map     [.] src_0x19d74
     0.02%  translator  perf-32261.map     [.] src_0x1e98c
     0.02%  translator  perf-32261.map     [.] src_0x1586c
     0.02%  translator  perf-32261.map     [.] src_0x16d10
     0.02%  translator  perf-32261.map     [.] src_0x16f84
     0.02%  translator  perf-32261.map     [.] src_0x1e578
     0.02%  translator  perf-32261.map     [.] src_0x17054
     0.02%  translator  perf-32261.map     [.] src_0x15c2c
     0.02%  translator  perf-32261.map     [.] src_0x164b8
     0.02%  translator  perf-32261.map     [.] src_0x191c4
     0.02%  translator  perf-32261.map     [.] src_0x17028
     0.02%  translator  perf-32261.map     [.] src_0x1da04
     0.02%  translator  perf-32261.map     [.] src_0x176c0
     0.02%  translator  perf-32261.map     [.] src_0x16cb4
     0.02%  translator  perf-32261.map     [.] src_0x15cec
     0.02%  translator  perf-32261.map     [.] src_0x1729c
     0.02%  translator  perf-32261.map     [.] src_0x10ac8
     0.02%  translator  perf-32261.map     [.] src_0x15ef0
     0.02%  translator  perf-32261.map     [.] src_0x17164
     0.02%  translator  perf-32261.map     [.] src_0x1c468
     0.02%  translator  perf-32261.map     [.] src_0x192f8
     0.02%  translator  perf-32261.map     [.] src_0x15aa8
     0.02%  translator  perf-32261.map     [.] src_0x10b08
     0.02%  translator  perf-32261.map     [.] src_0x1c7dc
     0.02%  translator  perf-32261.map     [.] src_0x1e310
     0.02%  translator  perf-32261.map     [.] src_0x195b8
     0.02%  translator  perf-32261.map     [.] src_0x1f064
     0.02%  translator  perf-32261.map     [.] src_0x1e540
     0.02%  translator  perf-32261.map     [.] src_0x15f34
     0.02%  translator  perf-32261.map     [.] src_0x16510
     0.02%  translator  perf-32261.map     [.] src_0x1582c
     0.02%  translator  perf-32261.map     [.] src_0x1e520
     0.02%  translator  perf-32261.map     [.] src_0x1be00
     0.02%  translator  perf-32261.map     [.] src_0x168a0
     0.02%  translator  perf-32261.map     [.] src_0x17170
     0.02%  translator  perf-32261.map     [.] src_0x1db58
     0.02%  translator  perf-32261.map     [.] src_0x10ae0
     0.02%  translator  perf-32261.map     [.] src_0x1cc44
     0.02%  translator  perf-32261.map     [.] src_0x19d14
     0.02%  translator  perf-32261.map     [.] src_0x1e2a8
     0.02%  translator  perf-32261.map     [.] src_0x1601c
     0.02%  translator  perf-32261.map     [.] src_0x213a4
     0.02%  translator  perf-32261.map     [.] src_0x15f94
     0.02%  translator  perf-32261.map     [.] src_0x18e8c
     0.02%  translator  perf-32261.map     [.] src_0x15bc8
     0.02%  translator  perf-32261.map     [.] src_0x16ce0
     0.02%  translator  perf-32261.map     [.] src_0x10d84
     0.02%  translator  perf-32261.map     [.] src_0x1d294
     0.02%  translator  perf-32261.map     [.] src_0x16fa0
     0.02%  translator  perf-32261.map     [.] src_0x1383c
     0.02%  translator  perf-32261.map     [.] src_0x1cd6c
     0.02%  translator  perf-32261.map     [.] src_0x1c6fc
     0.02%  translator  perf-32261.map     [.] src_0x1e328
     0.02%  translator  perf-32261.map     [.] src_0x15ed0
     0.02%  translator  perf-32261.map     [.] src_0x16900
     0.02%  translator  perf-32261.map     [.] src_0x10dfc
     0.02%  translator  perf-32261.map     [.] src_0x1db50
     0.02%  translator  perf-32261.map     [.] src_0x1e8c0
     0.02%  translator  perf-32261.map     [.] src_0x1e830
     0.02%  translator  perf-32261.map     [.] src_0x15b18
     0.02%  translator  perf-32261.map     [.] src_0x163a8
     0.02%  translator  perf-32261.map     [.] src_0x19d90
     0.02%  translator  perf-32261.map     [.] src_0x15a9c
     0.02%  translator  perf-32261.map     [.] src_0x1dfe0
     0.02%  translator  perf-32261.map     [.] src_0x19d2c
     0.02%  translator  perf-32261.map     [.] src_0x16f44
     0.02%  translator  perf-32261.map     [.] src_0x15c18
     0.02%  translator  perf-32261.map     [.] src_0x10b24
     0.02%  translator  perf-32261.map     [.] src_0x18ef8
     0.02%  translator  perf-32261.map     [.] src_0x15c24
     0.02%  translator  perf-32261.map     [.] src_0x19844
     0.02%  translator  perf-32261.map     [.] src_0x1e60c
     0.02%  translator  perf-32261.map     [.] src_0x16fd0
     0.02%  translator  perf-32261.map     [.] src_0x1be30
     0.02%  translator  perf-32261.map     [.] src_0x1db74
     0.02%  translator  perf-32261.map     [.] src_0x1e4dc
     0.02%  translator  perf-32261.map     [.] src_0x19e90
     0.02%  translator  perf-32261.map     [.] src_0x1be60
     0.02%  translator  perf-32261.map     [.] src_0x177c8
     0.02%  translator  perf-32261.map     [.] src_0x15938
     0.02%  translator  perf-32261.map     [.] src_0x15b48
     0.02%  translator  perf-32261.map     [.] src_0x16ab4
     0.02%  translator  perf-32261.map     [.] src_0x1db20
     0.02%  translator  perf-32261.map     [.] src_0x1de8c
     0.02%  translator  perf-32261.map     [.] src_0x16d60
     0.02%  translator  perf-32261.map     [.] src_0x10ad8
     0.02%  translator  perf-32261.map     [.] src_0x15b98
     0.02%  translator  perf-32261.map     [.] src_0x1959c
     0.02%  translator  perf-32261.map     [.] src_0x10b10
     0.02%  translator  perf-32261.map     [.] src_0x1e508
